user_id,order_id,day,sku_id
1,1,734473,41
1,1,734473,211
1,1,734473,232
1,1,734473,251
1,1,734473,292
1,1,734473,346
1,4,734473,52
1,4,734473,97
1,4,734473,135
1,4,734473,160
1,4,734473,251
1,4,734473,324
1,4,734473,346
1,18,734474,58
1,68,734488,11
1,68,734488,39
1,68,734488,191
1,72,734508,47
1,72,734508,188
1,72,734508,231
1,72,734508,232
1,72,734508,245
1,72,734508,292
1,286,734576,48
1,286,734576,251
1,286,734576,346
1,287,734576,259
1,289,734577,91
1,289,734577,187
1,289,734577,211
1,289,734577,244
1,289,734577,251
1,289,734577,259
1,289,734577,261
1,289,734577,279
1,289,734577,292
1,289,734577,324
1,289,734577,346
1,3602,734698,251
1,3607,734698,211
1,3607,734698,251
1,3607,734698,261
1,3607,734698,292
1,3607,734698,303
1,3607,734698,324
1,3607,734698,346
1,3607,734698,352
1,3609,734698,232
2,2,734473,52
2,2,734473,45
2,2,734473,91
2,2,734473,97
2,2,734473,203
2,2,734473,211
2,2,734473,232
2,2,734473,245
2,2,734473,292
2,2,734473,346
2,88,734516,89
2,88,734516,232
2,88,734516,245
2,88,734516,251
2,88,734516,331
2,88,734516,346
2,88,734516,372
2,200,734551,211
2,202,734550,45
2,202,734550,91
2,202,734550,158
2,202,734550,211
2,202,734550,232
2,202,734550,251
2,202,734550,269
2,202,734550,324
2,202,734550,361
2,202,734550,372
2,6004,734731,45
2,6004,734731,89
2,6004,734731,91
2,6004,734731,211
2,6004,734731,232
2,6004,734731,251
2,6004,734731,263
2,6004,734731,260
2,6004,734731,293
2,6004,734731,324
2,6004,734731,346
2,11988,734808,55
2,11988,734808,211
2,11988,734808,232
2,11988,734808,324
2,11988,734808,346
3,3,734473,86
4,5,734473,39
4,5,734473,49
4,5,734473,191
4,6,734473,11
4,6,734473,33
4,6,734473,107
4,6,734473,203
4,6,734473,230
4,6,734473,324
5,134,734473,76
5,134,734473,96
5,134,734473,100
5,134,734473,181
5,134,734473,203
5,134,734473,292
5,134,734473,341
5,139,734502,76
5,139,734502,101
5,139,734502,207
5,139,734502,251
5,139,734502,274
5,139,734502,278
5,139,734502,292
5,146,734526,59
5,146,734526,96
5,146,734526,160
5,146,734526,203
5,146,734526,232
5,146,734526,251
5,146,734526,292
5,420,734590,47
5,420,734590,59
5,420,734590,76
5,420,734590,96
5,420,734590,172
5,420,734590,230
5,420,734590,341
5,420,734590,375
5,1112,734627,59
5,1112,734627,76
5,1112,734627,97
5,1112,734627,96
5,1112,734627,158
5,1112,734627,160
5,1112,734627,211
5,1112,734627,203
5,1112,734627,207
5,1112,734627,232
5,1112,734627,251
5,1112,734627,267
5,1112,734627,292
5,1112,734627,341
5,1994,734657,97
5,1994,734657,113
5,1994,734657,128
5,1994,734657,171
5,1994,734657,211
5,1994,734657,230
5,1994,734657,232
5,1994,734657,251
5,1994,734657,262
5,1994,734657,341
5,1994,734657,342
5,2558,734668,171
5,2558,734668,352
5,2558,734668,374
5,6832,734743,53
5,6832,734743,63
5,6832,734743,97
5,6832,734743,158
5,6832,734743,160
5,6832,734743,188
5,6832,734743,207
5,6832,734743,222
5,6832,734743,230
5,6832,734743,232
5,6832,734743,251
5,6832,734743,341
5,6832,734743,372
5,10268,734784,59
5,10268,734784,113
5,10268,734784,188
5,10268,734784,203
5,10268,734784,232
5,10268,734784,251
5,10268,734784,291
5,10268,734784,350
5,13251,734828,49
5,13251,734828,76
5,13251,734828,97
5,13251,734828,96
5,13251,734828,131
5,13251,734828,163
5,13251,734828,161
5,13251,734828,160
5,13251,734828,207
5,13251,734828,211
5,13251,734828,282
5,13251,734828,292
5,13251,734828,341
5,16490,734893,51
5,16490,734893,97
5,16490,734893,93
5,16490,734893,163
5,16490,734893,160
5,16490,734893,211
5,16490,734893,207
5,16490,734893,232
5,16490,734893,251
5,16490,734893,297
5,16490,734893,291
5,16490,734893,341
5,16490,734893,346
5,16490,734893,374
6,29,734473,55
6,29,734473,232
6,29,734473,286
7,7,734473,52
7,7,734473,203
7,7,734473,229
7,7,734473,286
7,7,734473,346
7,2971,734679,86
7,2971,734679,121
7,2971,734679,136
7,2971,734679,203
7,2971,734679,211
7,2971,734679,232
7,2971,734679,251
7,2971,734679,382
8,8,734473,203
8,8,734473,207
8,8,734473,211
8,8,734473,229
8,8,734473,286
8,8,734473,346
9,9,734473,211
9,9,734473,251
10,10,734473,70
10,10,734473,100
10,10,734473,211
10,10,734473,229
10,10,734473,329
10,10,734473,358
10,58,734502,47
10,58,734502,205
10,58,734502,251
10,58,734502,280
10,58,734502,278
10,58,734502,268
10,58,734502,270
10,58,734502,299
10,58,734502,302
10,58,734502,326
10,58,734502,365
11,11,734473,11
11,11,734473,6
11,11,734473,39
11,11,734473,106
11,11,734473,120
11,11,734473,133
11,11,734473,204
11,11,734473,291
12,12,734474,352
13,135,734474,39
13,135,734474,191
13,135,734474,211
13,135,734474,229
13,135,734474,393
13,136,734499,26
13,136,734499,19
13,136,734499,203
13,136,734499,232
13,136,734499,267
13,136,734499,372
14,13,734474,89
14,13,734474,214
14,13,734474,231
14,13,734474,230
14,13,734474,322
15,14,734474,181
15,14,734474,203
15,14,734474,230
15,14,734474,229
15,14,734474,256
15,14,734474,251
15,14,734474,383
15,65,734506,55
15,65,734506,64
15,65,734506,72
15,65,734506,100
15,65,734506,194
15,65,734506,233
15,65,734506,331
15,440,734593,116
15,440,734593,133
15,440,734593,172
15,440,734593,187
15,440,734593,251
15,440,734593,275
15,445,734586,116
15,445,734586,133
15,445,734586,172
15,445,734586,187
15,445,734586,251
15,445,734586,275
15,4670,734724,45
15,4670,734724,71
15,4670,734724,97
15,4670,734724,203
15,4670,734724,213
15,4670,734724,259
15,4670,734724,269
15,4670,734724,270
15,4670,734724,278
15,4670,734724,258
15,4670,734724,341
16,15,734474,91
16,15,734474,230
16,15,734474,251
16,73,734508,39
16,73,734508,21
16,73,734508,191
16,73,734508,215
16,73,734508,232
16,73,734508,230
16,73,734508,239
16,73,734508,279
16,73,734508,292
16,73,734508,329
16,170,734542,232
16,170,734542,234
16,170,734542,229
16,170,734542,239
16,170,734542,251
16,170,734542,366
16,256,734571,89
16,256,734571,120
16,256,734571,191
16,256,734571,232
16,256,734571,239
16,256,734571,254
16,256,734571,322
16,502,734599,33
16,502,734599,190
16,502,734599,191
16,502,734599,244
16,502,734599,343
16,502,734599,363
16,1129,734628,89
16,1129,734628,158
16,1129,734628,232
16,1129,734628,234
16,1129,734628,239
16,1129,734628,291
16,1129,734628,331
16,1129,734628,363
16,1129,734628,372
16,2357,734663,120
16,2357,734663,232
16,2357,734663,239
16,2357,734663,254
16,2357,734663,251
16,2357,734663,324
16,2982,734680,14
16,2982,734680,32
16,2982,734680,43
16,2982,734680,89
16,2982,734680,191
16,2982,734680,222
16,2982,734680,259
16,2982,734680,365
16,3853,734706,45
16,3853,734706,90
16,3853,734706,152
16,3853,734706,234
16,3853,734706,231
16,3853,734706,237
16,3853,734706,239
16,3853,734706,273
16,3853,734706,277
16,3853,734706,284
16,3853,734706,268
16,3853,734706,278
16,3853,734706,272
16,3853,734706,269
16,3853,734706,264
16,3853,734706,292
16,3853,734706,324
16,5598,734732,89
16,5598,734732,122
16,5598,734732,187
16,5598,734732,243
16,5598,734732,251
16,5598,734732,279
16,5598,734732,324
16,8216,734765,39
16,8216,734765,191
16,8216,734765,230
16,8216,734765,232
16,8216,734765,239
